gas_ftir_scan48_replicate1,gas_ftir_scan48_replicate2,gas_ftir_scan48_replicate3,gas_ftir_scan48_replicate4,gas_ftir_scan48_replicate5,gas_ftir_scan48_replicate6,gas_ftir_scan48_replicate7,gas_ftir_scan48_replicate8,gas_ftir_scan48_replicate9
90.75,122.56,107.52,130.43,127.69,121.17,87.99,96.6,98.48
90.75,122.56,107.52,130.43,127.69,121.17,87.99,96.6,98.48
90.75,122.55,107.52,130.42,127.69,121.16,87.99,96.6,98.48
90.75,122.55,107.52,130.42,127.69,121.16,87.99,96.59,98.48
90.75,122.55,107.51,130.42,127.7,121.15,87.98,96.59,98.48
90.75,122.54,107.51,130.41,127.7,121.15,87.98,96.59,98.48
90.74,122.54,107.51,130.41,127.7,121.14,87.98,96.59,98.48
90.74,122.53,107.51,130.4,127.7,121.14,87.98,96.59,98.48
90.74,122.53,107.51,130.4,127.7,121.14,87.98,96.59,98.48
90.74,122.52,107.51,130.4,127.7,121.13,87.98,96.59,98.48
90.75,122.52,107.51,130.39,127.7,121.13,87.98,96.59,98.48
90.75,122.51,107.51,130.39,127.7,121.12,87.98,96.59,98.48
90.75,122.51,107.51,130.38,127.7,121.12,87.98,96.58,98.48
90.75,122.5,107.5,130.38,127.7,121.11,87.98,96.58,98.48
90.75,122.49,107.5,130.37,127.7,121.1,87.98,96.58,98.48
90.75,122.49,107.5,130.36,127.7,121.1,87.98,96.58,98.48
90.75,122.48,107.5,130.35,127.7,121.09,87.98,96.58,98.48
90.75,122.48,107.5,130.35,127.69,121.08,87.98,96.58,98.48
90.75,122.47,107.5,130.34,127.69,121.07,87.98,96.58,98.48
90.75,122.46,107.5,130.33,127.69,121.07,87.98,96.58,98.48
90.75,122.45,107.5,130.32,127.69,121.06,87.98,96.58,98.48
90.75,122.44,107.5,130.31,127.69,121.06,87.98,96.58,98.48
90.75,122.44,107.49,130.3,127.69,121.05,87.98,96.58,98.48
90.75,122.43,107.49,130.29,127.69,121.04,87.98,96.58,98.48
90.75,122.42,107.49,130.28,127.68,121.04,87.98,96.58,98.48
90.75,122.42,107.48,130.26,127.68,121.03,87.98,96.58,98.48
90.75,122.41,107.48,130.25,127.68,121.03,87.98,96.58,98.48
90.75,122.4,107.48,130.24,127.68,121.02,87.99,96.58,98.48
90.75,122.4,107.47,130.23,127.67,121.02,87.99,96.58,98.47
90.75,122.39,107.47,130.22,127.67,121.02,87.99,96.58,98.47
90.75,122.39,107.47,130.22,127.67,121.01,87.99,96.58,98.47
90.75,122.39,107.47,130.21,127.66,121.01,87.99,96.58,98.47
90.75,122.39,107.47,130.2,127.66,121.01,87.99,96.59,98.47
90.75,122.38,107.47,130.2,127.66,121.01,87.99,96.59,98.47
90.75,122.38,107.47,130.19,127.65,121.01,87.99,96.59,98.47
90.75,122.38,107.47,130.19,127.65,121.0,87.99,96.59,98.47
90.75,122.38,107.47,130.18,127.64,121.0,87.99,96.59,98.48
90.75,122.38,107.47,130.18,127.64,121.0,87.99,96.59,98.48
90.75,122.38,107.47,130.17,127.64,121.0,87.99,96.59,98.48
90.75,122.38,107.47,130.17,127.64,121.01,87.99,96.59,98.48
90.74,122.38,107.47,130.17,127.63,121.01,87.99,96.59,98.48
90.74,122.39,107.47,130.17,127.63,121.01,87.99,96.6,98.48
90.74,122.39,107.47,130.17,127.63,121.02,87.99,96.6,98.48
90.74,122.39,107.48,130.17,127.63,121.02,87.99,96.6,98.48
90.74,122.4,107.48,130.17,127.63,121.02,87.99,96.6,98.48
90.74,122.4,107.49,130.17,127.63,121.02,87.99,96.6,98.48
90.74,122.4,107.48,130.17,127.62,121.03,87.99,96.6,98.48
90.74,122.4,107.48,130.17,127.62,121.03,87.99,96.6,98.48
90.74,122.4,107.48,130.17,127.62,121.03,87.99,96.6,98.48
90.74,122.4,107.47,130.17,127.62,121.04,87.98,96.59,98.48
90.73,122.4,107.46,130.17,127.62,121.04,87.98,96.59,98.48
90.73,122.4,107.46,130.17,127.62,121.04,87.98,96.59,98.48
90.73,122.4,107.45,130.16,127.63,121.05,87.97,96.59,98.47
90.73,122.4,107.46,130.16,127.63,121.05,87.97,96.59,98.47
90.73,122.4,107.46,130.16,127.62,121.05,87.98,96.59,98.47
90.73,122.4,107.46,130.15,127.61,121.05,87.98,96.59,98.48
90.73,122.4,107.46,130.16,127.61,121.05,87.98,96.59,98.48
90.73,122.4,107.46,130.16,127.61,121.05,87.97,96.59,98.48
90.72,122.4,107.46,130.17,127.62,121.05,87.97,96.59,98.48
90.71,122.41,107.47,130.17,127.63,121.05,87.97,96.59,98.48
90.72,122.41,107.47,130.18,127.62,121.05,87.97,96.58,98.48
90.72,122.41,107.47,130.18,127.62,121.04,87.97,96.59,98.48
90.72,122.41,107.48,130.18,127.62,121.04,87.97,96.59,98.47
90.73,122.4,107.48,130.17,127.62,121.03,87.97,96.58,98.47
