gas_ftir_scan15_replicate1,gas_ftir_scan15_replicate2,gas_ftir_scan15_replicate3,gas_ftir_scan15_replicate4,gas_ftir_scan15_replicate5,gas_ftir_scan15_replicate6,gas_ftir_scan15_replicate7,gas_ftir_scan15_replicate8,gas_ftir_scan15_replicate9
100.02,100.13,100.14,100.24,100.31,100.36,100.42,100.44,100.61
100.02,100.13,100.14,100.24,100.31,100.36,100.42,100.44,100.61
100.02,100.13,100.14,100.24,100.31,100.36,100.42,100.44,100.61
100.02,100.13,100.14,100.24,100.31,100.36,100.42,100.44,100.61
100.01,100.13,100.14,100.24,100.31,100.36,100.42,100.44,100.61
100.02,100.13,100.14,100.24,100.31,100.36,100.42,100.44,100.61
100.02,100.13,100.14,100.24,100.31,100.36,100.42,100.44,100.61
100.01,100.12,100.14,100.24,100.31,100.36,100.41,100.44,100.61
100.01,100.12,100.13,100.24,100.31,100.36,100.41,100.44,100.6
100.02,100.13,100.13,100.23,100.31,100.36,100.41,100.44,100.6
100.02,100.13,100.14,100.24,100.31,100.36,100.41,100.44,100.6
100.02,100.13,100.14,100.24,100.31,100.36,100.41,100.44,100.6
100.01,100.13,100.14,100.24,100.3,100.36,100.41,100.44,100.6
100.01,100.13,100.13,100.23,100.3,100.36,100.41,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.36,100.41,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.36,100.41,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.36,100.41,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.36,100.41,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.36,100.41,100.43,100.6
100.01,100.12,100.14,100.23,100.3,100.36,100.41,100.43,100.6
100.01,100.12,100.14,100.23,100.3,100.36,100.41,100.44,100.6
100.02,100.13,100.14,100.23,100.3,100.36,100.41,100.44,100.6
100.02,100.13,100.14,100.23,100.3,100.36,100.41,100.44,100.6
100.01,100.13,100.13,100.23,100.3,100.36,100.41,100.44,100.6
100.01,100.13,100.14,100.23,100.3,100.36,100.41,100.44,100.6
100.01,100.13,100.14,100.23,100.31,100.36,100.41,100.44,100.6
100.01,100.13,100.14,100.24,100.31,100.36,100.41,100.44,100.6
100.01,100.13,100.14,100.24,100.31,100.36,100.41,100.43,100.6
100.01,100.13,100.13,100.23,100.3,100.36,100.41,100.43,100.6
100.01,100.13,100.13,100.23,100.3,100.36,100.41,100.43,100.6
100.01,100.13,100.13,100.24,100.3,100.36,100.41,100.43,100.6
100.01,100.13,100.13,100.24,100.31,100.36,100.41,100.43,100.6
100.01,100.13,100.13,100.24,100.31,100.36,100.41,100.44,100.61
100.01,100.13,100.13,100.24,100.31,100.36,100.41,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.35,100.41,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.35,100.41,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.35,100.4,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.35,100.4,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.35,100.4,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.35,100.4,100.43,100.6
100.01,100.12,100.13,100.23,100.3,100.35,100.4,100.43,100.59
100.01,100.12,100.13,100.23,100.3,100.35,100.4,100.42,100.59
100.01,100.12,100.13,100.23,100.3,100.35,100.4,100.42,100.59
100.01,100.12,100.13,100.23,100.3,100.35,100.4,100.43,100.59
