gas_ftir_scan64_replicate1,gas_ftir_scan64_replicate2,gas_ftir_scan64_replicate3,gas_ftir_scan64_replicate4,gas_ftir_scan64_replicate5,gas_ftir_scan64_replicate6,gas_ftir_scan64_replicate7,gas_ftir_scan64_replicate8,gas_ftir_scan64_replicate9,gas_ftir_scan64_replicate10,gas_ftir_scan64_replicate11,gas_ftir_scan64_replicate12,gas_ftir_scan64_replicate13
134.95,135.89,129.27,130.19,130.45,131.45,104.84,105.12,100.07,99.87,91.65,100.25,98.92
134.94,135.88,129.27,130.18,130.44,131.44,104.84,105.12,100.07,99.87,91.65,100.25,98.92
134.92,135.87,129.27,130.18,130.43,131.43,104.84,105.12,100.07,99.87,91.65,100.26,98.91
134.91,135.86,129.26,130.17,130.42,131.42,104.83,105.11,100.07,99.87,91.65,100.26,98.91
134.91,135.86,129.25,130.16,130.42,131.42,104.83,105.11,100.06,99.87,91.65,100.26,98.91
134.91,135.86,129.25,130.16,130.42,131.42,104.83,105.11,100.06,99.87,91.66,100.26,98.91
134.91,135.85,129.25,130.16,130.41,131.41,104.83,105.11,100.06,99.87,91.66,100.26,98.92
134.9,135.84,129.25,130.15,130.41,131.41,104.83,105.11,100.06,99.87,91.66,100.26,98.92
134.9,135.84,129.24,130.14,130.4,131.4,104.83,105.11,100.06,99.87,91.66,100.26,98.92
134.9,135.84,129.23,130.13,130.4,131.4,104.83,105.1,100.06,99.86,91.66,100.26,98.92
134.9,135.84,129.22,130.13,130.4,131.4,104.83,105.1,100.06,99.86,91.66,100.26,98.91
134.9,135.84,129.22,130.13,130.4,131.39,104.82,105.1,100.06,99.86,91.66,100.26,98.91
134.9,135.84,129.22,130.12,130.39,131.39,104.82,105.1,100.06,99.86,91.67,100.26,98.91
134.89,135.83,129.21,130.12,130.39,131.38,104.82,105.1,100.06,99.86,91.67,100.26,98.92
134.89,135.83,129.21,130.11,130.38,131.37,104.82,105.1,100.06,99.86,91.67,100.26,98.92
134.88,135.82,129.2,130.11,130.37,131.37,104.82,105.1,100.06,99.86,91.68,100.26,98.91
134.88,135.81,129.2,130.1,130.37,131.36,104.82,105.1,100.06,99.86,91.68,100.26,98.9
134.88,135.81,129.19,130.09,130.36,131.35,104.82,105.1,100.06,99.86,91.67,100.26,98.89
134.88,135.81,129.19,130.09,130.36,131.35,104.82,105.1,100.07,99.85,91.67,100.27,98.89
134.87,135.8,129.18,130.08,130.35,131.34,104.82,105.1,100.07,99.85,91.67,100.27,98.89
134.87,135.8,129.17,130.07,130.35,131.34,104.82,105.1,100.07,99.85,91.67,100.27,98.9
134.87,135.8,129.16,130.06,130.35,131.33,104.82,105.09,100.07,99.85,91.67,100.27,98.91
134.87,135.8,129.15,130.05,130.35,131.34,104.82,105.09,100.07,99.85,91.68,100.26,98.92
134.87,135.8,129.15,130.05,130.35,131.34,104.82,105.09,100.06,99.85,91.68,100.26,98.93
134.87,135.8,129.15,130.05,130.35,131.33,104.82,105.09,100.06,99.85,91.68,100.26,98.92
134.86,135.79,129.14,130.04,130.34,131.33,104.82,105.09,100.06,99.85,91.68,100.26,98.92
134.86,135.78,129.14,130.04,130.33,131.32,104.81,105.09,100.07,99.85,91.68,100.26,98.91
134.84,135.77,129.14,130.03,130.33,131.31,104.82,105.09,100.07,99.85,91.67,100.27,98.9
134.83,135.75,129.14,130.03,130.32,131.3,104.82,105.09,100.07,99.85,91.67,100.27,98.9
134.82,135.74,129.13,130.03,130.31,131.29,104.82,105.09,100.07,99.85,91.67,100.27,98.91
134.81,135.73,129.13,130.03,130.3,131.28,104.82,105.09,100.07,99.85,91.67,100.26,98.92
134.81,135.73,129.13,130.03,130.3,131.28,104.82,105.1,100.06,99.85,91.68,100.26,98.93
134.81,135.73,129.14,130.03,130.3,131.28,104.83,105.1,100.06,99.86,91.68,100.26,98.93
134.81,135.74,129.14,130.03,130.3,131.28,104.83,105.1,100.06,99.86,91.68,100.26,98.92
134.83,135.75,129.14,130.04,130.31,131.29,104.83,105.1,100.06,99.86,91.68,100.26,98.91
134.85,135.77,129.15,130.04,130.32,131.3,104.83,105.1,100.06,99.86,91.68,100.26,98.89
134.88,135.8,129.15,130.04,130.34,131.32,104.82,105.09,100.06,99.85,91.67,100.26,98.88
134.92,135.84,129.15,130.04,130.36,131.34,104.82,105.09,100.07,99.85,91.67,100.26,98.88
134.96,135.89,129.16,130.05,130.39,131.37,104.81,105.09,100.07,99.85,91.67,100.26,98.89
135.0,135.92,129.16,130.05,130.41,131.39,104.81,105.08,100.07,99.85,91.68,100.26,98.89
135.01,135.93,129.16,130.05,130.43,131.41,104.8,105.07,100.07,99.85,91.68,100.25,98.89
135.01,135.93,129.16,130.05,130.44,131.42,104.8,105.07,100.07,99.86,91.68,100.25,98.89
135.01,135.93,129.16,130.05,130.44,131.42,104.79,105.06,100.07,99.86,91.68,100.25,98.87
135.01,135.93,129.16,130.05,130.44,131.42,104.79,105.07,100.07,99.85,91.67,100.25,98.85
134.99,135.91,129.17,130.06,130.44,131.41,104.8,105.07,100.07,99.85,91.67,100.26,98.84
134.97,135.88,129.18,130.07,130.42,131.39,104.8,105.07,100.07,99.85,91.66,100.26,98.82
134.94,135.86,129.18,130.06,130.4,131.37,104.8,105.07,100.07,99.85,91.65,100.25,98.82
134.93,135.84,129.18,130.06,130.39,131.36,104.81,105.08,100.07,99.85,91.65,100.25,98.82
134.91,135.83,129.18,130.07,130.39,131.36,104.81,105.08,100.07,99.85,91.65,100.25,98.83
134.9,135.81,129.18,130.07,130.38,131.35,104.81,105.08,100.07,99.85,91.65,100.24,98.84
134.9,135.81,129.18,130.06,130.38,131.35,104.81,105.08,100.07,99.86,91.65,100.24,98.84
134.91,135.83,129.18,130.06,130.38,131.35,104.81,105.08,100.07,99.86,91.65,100.24,98.83
134.92,135.83,129.18,130.06,130.38,131.35,104.82,105.08,100.07,99.85,91.64,100.24,98.83
134.91,135.82,129.18,130.07,130.39,131.35,104.81,105.08,100.07,99.85,91.64,100.25,98.82
134.9,135.81,129.17,130.06,130.38,131.35,104.81,105.08,100.07,99.85,91.64,100.25,98.81
134.9,135.81,129.16,130.04,130.38,131.35,104.8,105.07,100.07,99.85,91.63,100.25,98.81
134.94,135.85,129.15,130.03,130.39,131.36,104.8,105.07,100.07,99.85,91.63,100.25,98.82
134.96,135.87,129.17,130.05,130.4,131.37,104.8,105.07,100.07,99.85,91.63,100.25,98.82
134.95,135.85,129.18,130.06,130.4,131.37,104.8,105.07,100.06,99.85,91.63,100.25,98.83
134.92,135.83,129.18,130.06,130.39,131.36,104.8,105.06,100.06,99.85,91.64,100.25,98.84
134.91,135.82,129.16,130.04,130.38,131.35,104.79,105.06,100.06,99.85,91.64,100.25,98.84
134.93,135.84,129.15,130.03,130.39,131.35,104.79,105.06,100.06,99.85,91.64,100.25,98.85
134.96,135.86,129.16,130.03,130.4,131.36,104.79,105.06,100.06,99.85,91.65,100.25,98.86
134.95,135.85,129.17,130.04,130.39,131.36,104.8,105.07,100.06,99.85,91.65,100.25,98.87
134.91,135.81,129.16,130.04,130.37,131.34,104.8,105.07,100.06,99.85,91.66,100.25,98.89
134.87,135.78,129.15,130.02,130.35,131.31,104.8,105.06,100.06,99.85,91.67,100.25,98.9
134.87,135.77,129.13,130.01,130.34,131.3,104.8,105.06,100.06,99.85,91.67,100.25,98.91
134.9,135.8,129.13,130.0,130.35,131.31,104.79,105.06,100.06,99.85,91.68,100.25,98.91
134.93,135.83,129.14,130.01,130.36,131.32,104.8,105.06,100.06,99.85,91.68,100.25,98.91
134.93,135.83,129.16,130.03,130.37,131.33,104.8,105.06,100.06,99.85,91.68,100.25,98.91
134.9,135.8,129.15,130.02,130.36,131.32,104.8,105.06,100.06,99.85,91.68,100.25,98.91
134.9,135.8,129.13,130.0,130.35,131.31,104.79,105.06,100.06,99.85,91.68,100.25,98.91
134.94,135.84,129.11,129.98,130.37,131.32,104.78,105.05,100.06,99.85,91.68,100.25,98.91
134.98,135.88,129.12,129.99,130.39,131.35,104.78,105.05,100.06,99.86,91.68,100.25,98.92
134.97,135.87,129.14,130.01,130.4,131.35,104.79,105.05,100.06,99.86,91.68,100.24,98.92
134.94,135.83,129.14,130.01,130.38,131.34,104.78,105.05,100.06,99.86,91.68,100.24,98.93
134.93,135.83,129.12,129.99,130.37,131.33,104.78,105.04,100.06,99.86,91.68,100.24,98.93
134.95,135.84,129.11,129.98,130.37,131.33,104.78,105.04,100.06,99.86,91.67,100.24,98.92
134.95,135.84,129.12,129.99,130.38,131.33,104.79,105.05,100.06,99.86,91.67,100.24,98.9
134.92,135.81,129.13,130.0,130.36,131.32,104.79,105.06,100.06,99.86,91.66,100.24,98.89
134.88,135.77,129.12,129.98,130.34,131.29,104.8,105.06,100.06,99.86,91.65,100.24,98.88
134.86,135.75,129.1,129.96,130.32,131.28,104.8,105.06,100.07,99.86,91.65,100.24,98.88
134.86,135.76,129.09,129.96,130.32,131.27,104.8,105.06,100.07,99.85,91.65,100.24,98.87
134.88,135.78,129.1,129.97,130.33,131.28,104.8,105.07,100.07,99.85,91.65,100.24,98.87
134.9,135.8,129.11,129.98,130.34,131.29,104.81,105.07,100.07,99.85,91.65,100.24,98.87
134.92,135.81,129.13,130.0,130.35,131.3,104.81,105.07,100.07,99.85,91.65,100.24,98.87
134.91,135.8,129.15,130.01,130.37,131.31,104.81,105.07,100.07,99.85,91.65,100.24,98.86
134.91,135.8,129.16,130.02,130.38,131.32,104.81,105.07,100.07,99.85,91.65,100.24,98.85
134.95,135.84,129.16,130.03,130.39,131.34,104.81,105.07,100.07,99.85,91.64,100.24,98.84
134.99,135.88,129.17,130.03,130.42,131.37,104.8,105.06,100.07,99.85,91.64,100.24,98.83
134.99,135.88,129.18,130.04,130.43,131.38,104.79,105.05,100.07,99.85,91.64,100.24,98.83
134.97,135.85,129.17,130.03,130.43,131.37,104.79,105.05,100.07,99.85,91.63,100.25,98.83
134.96,135.84,129.15,130.02,130.41,131.36,104.78,105.04,100.07,99.84,91.63,100.25,98.83
134.96,135.85,129.14,130.0,130.41,131.35,104.79,105.05,100.07,99.84,91.63,100.25,98.83
134.95,135.83,129.14,130.0,130.39,131.34,104.8,105.06,100.06,99.84,91.64,100.25,98.84
134.9,135.79,129.14,130.0,130.37,131.31,104.81,105.07,100.06,99.84,91.64,100.25,98.84
134.85,135.73,129.12,129.98,130.34,131.28,104.81,105.07,100.06,99.84,91.64,100.25,98.84
134.81,135.69,129.11,129.96,130.31,131.25,104.82,105.08,100.06,99.84,91.63,100.25,98.83
134.81,135.69,129.1,129.95,130.3,131.24,104.82,105.08,100.06,99.84,91.63,100.25,98.82
134.82,135.7,129.1,129.95,130.3,131.24,104.82,105.08,100.06,99.84,91.62,100.26,98.82
134.84,135.73,129.1,129.96,130.32,131.26,104.82,105.08,100.06,99.84,91.62,100.26,98.82
134.86,135.74,129.11,129.96,130.33,131.27,104.82,105.08,100.06,99.84,91.62,100.26,98.83
134.87,135.75,129.11,129.96,130.34,131.28,104.81,105.07,100.06,99.84,91.62,100.26,98.85
134.89,135.77,129.1,129.96,130.35,131.29,104.81,105.06,100.06,99.84,91.62,100.26,98.87
134.91,135.79,129.11,129.96,130.36,131.3,104.8,105.06,100.06,99.84,91.63,100.26,98.88
134.92,135.8,129.11,129.96,130.37,131.31,104.8,105.05,100.06,99.84,91.63,100.25,98.89
134.92,135.8,129.11,129.96,130.37,131.31,104.79,105.05,100.06,99.84,91.63,100.25,98.88
134.91,135.79,129.1,129.96,130.36,131.3,104.79,105.05,100.06,99.84,91.63,100.26,98.87
134.9,135.77,129.1,129.95,130.36,131.29,104.79,105.05,100.06,99.84,91.62,100.26,98.86
134.89,135.76,129.09,129.94,130.35,131.28,104.79,105.05,100.06,99.84,91.62,100.26,98.85
134.87,135.74,129.08,129.93,130.33,131.26,104.79,105.05,100.06,99.84,91.61,100.26,98.85
134.84,135.71,129.07,129.92,130.31,131.24,104.8,105.05,100.06,99.84,91.61,100.26,98.86
134.79,135.66,129.06,129.91,130.28,131.21,104.8,105.06,100.06,99.84,91.62,100.25,98.88
134.75,135.62,129.05,129.9,130.25,131.18,104.8,105.06,100.06,99.84,91.63,100.25,98.89
134.72,135.59,129.03,129.88,130.23,131.16,104.8,105.06,100.06,99.84,91.63,100.25,98.9
134.72,135.59,129.01,129.86,130.21,131.14,104.8,105.06,100.06,99.84,91.64,100.24,98.9
134.74,135.61,129.01,129.86,130.21,131.14,104.8,105.06,100.06,99.84,91.64,100.24,98.89
134.76,135.62,129.02,129.87,130.22,131.15,104.8,105.06,100.06,99.84,91.63,100.24,98.88
134.74,135.61,129.02,129.86,130.22,131.15,104.8,105.05,100.06,99.84,91.63,100.25,98.87
