trichomes_pollen_scan16_mdi,trichomes_pollen_scan24_mdi,trichomes_pollen_scan32_mdi,trichomes_pollen_scan48_mdi,trichomes_pollen_scan64_mdi
-0.013343001250177622,-0.011838048696517944,-0.011401726864278316,-0.011878225486725569,-0.012709505390375853
-0.011658465024083853,-0.011743000708520412,-0.012144408654421568,-0.011430883314460516,-0.0115696438588202
-0.012201877776533365,-0.01226175157353282,-0.012075071223080158,-0.011305379215627909,-0.01185584906488657
-0.012266162317246199,-0.011543491389602423,-0.011828724294900894,-0.011674306355416775,-0.012425650842487812
-0.012083709239959717,-0.011403958778828382,-0.012518784496933222,-0.01210505235940218,-0.011668510269373655
-0.012559317983686924,-0.011547973845154047,-0.012002771254628897,-0.011779263149946928,-0.011805801186710596
-0.01173266302794218,-0.012076422106474638,-0.012230620719492435,-0.012519915122538805,-0.011728504206985235
-0.011858380399644375,-0.01202988438308239,-0.017119721975177526,-0.011842845939099789,-0.011733617633581161
-0.01174474461004138,-0.011364696081727743,-0.011723360046744347,-0.012509982567280531,-0.011791225522756577
