mango_trichomes_16_scans_mdi,mango_trichomes_24_scans_mdi,mango_trichomes_32_scans_mdi,mango_trichomes_48_scans_mdi,mango_trichomes_72_scans_mdi
-0.011419017799198627,-0.011663233861327171,-0.011691260151565075,-0.01163390465080738,-0.011528751347213984
-0.012387390714138746,-0.012061447370797396,-0.011646008118987083,-0.012134667951613665,-0.012156323995441198
-0.011459690518677235,-0.011392533779144287,-0.011648006737232208,-0.011259126476943493,-0.011795774102210999
-0.011795667465776205,-0.011687309481203556,-0.011370397172868252,-0.011197446845471859,-0.011632058303803205
-0.01173219969496131,-0.012451267335563898,-0.012024012859910727,-0.011862030252814293,-0.01147706713527441
-0.012147742789238691,-0.011443058960139751,-0.011804144829511642,-0.011368907056748867,-0.011722898110747337
-0.011542998254299164,-0.01161459181457758,-0.011929563712328672,-0.011591663118451834,-0.012006506323814392
-0.013187313452363014,-0.011935919523239136,-0.011801813263446093,-0.011441265232861042,-0.012096868362277746
-0.01253549475222826,-0.011622566729784012,-0.011064003221690655,-0.011579605285078287,-0.011542502325028181
