protein_extract_32_scans_sample1,protein_extract_32_scans_sample2,protein_extract_32_scans_sample3,protein_extract_32_scans_sample4,protein_extract_32_scans_sample5,protein_extract_32_scans_sample6,protein_extract_32_scans_sample7,protein_extract_32_scans_sample8,protein_extract_32_scans_sample9,protein_extract_32_scans_sample10,protein_extract_32_scans_sample11,protein_extract_32_scans_sample12,protein_extract_32_scans_sample13,protein_extract_32_scans_sample14,protein_extract_32_scans_sample15
9.249999999999999e-05,6.749999999999996e-05,-9.999999999999986e-06,0.0009425,0.00096,0.0007949999999999999,0.001105,0.0008025,0.000755,0.0006825000000000001,0.000625,0.0005675000000000001,0.000275,-0.00444,0.00015250000000000002
0.00014000000000000004,0.00018,1.0000000000000006e-05,0.0008575000000000001,0.0007950000000000001,0.00068,0.0007549999999999999,0.0004075,0.00047249999999999994,0.00062,0.000475,0.000395,0.00047999999999999996,-0.004403333333333333,0.0005025
0.0001575,0.000285,-9.75e-05,0.0008224999999999999,0.000655,0.0006050000000000001,0.00035,0.0001375,0.00029,0.0005075,0.00043749999999999995,0.00035749999999999996,0.0005025,-0.004300000000000001,0.0008075000000000001
0.000365,0.0005075,1.2500000000000002e-05,0.0009274999999999999,0.0007149999999999999,0.000745,7.5e-05,6.749999999999999e-05,0.0002275,0.00045,0.00058,0.00046499999999999997,0.00031999999999999997,-0.004346666666666667,0.000665
0.0007025,0.0007975,0.00043999999999999996,0.0011625,0.0009325000000000001,0.0009625,0.0001375,0.00013000000000000002,0.00027,0.00039499999999999995,0.0006075,0.000425,0.00019250000000000002,-0.0044933333333333336,0.00024
0.000795,0.000835,0.000715,0.0012225,0.0009925,0.0009100000000000001,0.0004975,0.0003675,0.00042500000000000003,0.000325,0.0005,0.00026999999999999995,0.0003725,-0.0044533333333333334,0.000145
0.0005625000000000001,0.000515,0.0005175,0.0010175,0.0008625,0.0006825,0.00079,0.00069,0.0006175,0.0003975,0.0005225000000000001,0.00027749999999999997,0.0005275,-0.00438,0.000315
0.00037,0.0002225,0.00023,0.0008825,0.0008125000000000001,0.0006475000000000001,0.0008750000000000001,0.00085,0.0007700000000000001,0.0005825,0.0007,0.0004525,0.00035,-0.004496666666666666,0.00031749999999999997
0.00031999999999999997,0.0001575,0.00025,0.0009249999999999999,0.0008275,0.0007475,0.000925,0.000815,0.0008125,0.0006799999999999999,0.0008324999999999999,0.0006249999999999999,0.00010000000000000002,-0.0046,0.00024249999999999999
0.00023500000000000002,0.000145,0.00034,0.000845,0.0006075,0.0006725,0.00098,0.00079,0.00075,0.000565,0.0008125,0.000685,5.4999999999999995e-05,-0.004646666666666666,0.0002525
