Created as New Dataset,Sample 382 By Analyst Date Monday, February 10 2025
cm-1,%T
3649.00,100.89
3648.00,100.89
3647.00,100.89
3646.00,100.90
3645.00,100.90
3644.00,100.90
3643.00,100.90
3642.00,100.90
3641.00,100.90
3640.00,100.89
3639.00,100.89
3638.00,100.88
3637.00,100.88
3636.00,100.88
3635.00,100.88
3634.00,100.88
3633.00,100.88
3632.00,100.89
3631.00,100.88
3630.00,100.88
3629.00,100.88
3628.00,100.89
3627.00,100.90
3626.00,100.89
3625.00,100.88
3624.00,100.89
3623.00,100.90
3622.00,100.90
3621.00,100.89
3620.00,100.89
3619.00,100.89
3618.00,100.89
3617.00,100.89
3616.00,100.88
3615.00,100.88
3614.00,100.88
3613.00,100.89
3612.00,100.89
3611.00,100.89
3610.00,100.89
3609.00,100.88
3608.00,100.88
3607.00,100.89
3606.00,100.89
3605.00,100.89
3604.00,100.89
3603.00,100.88
3602.00,100.88
3601.00,100.88
3600.00,100.88
3599.00,100.88
3598.00,100.88
3597.00,100.88
3596.00,100.88
3595.00,100.88
3594.00,100.88
3593.00,100.88
3592.00,100.88
3591.00,100.88
3590.00,100.87
3589.00,100.87
3588.00,100.87
3587.00,100.88
3586.00,100.88
3585.00,100.88
3584.00,100.88
3583.00,100.88
3582.00,100.88
3581.00,100.88
3580.00,100.89
3579.00,100.89
3578.00,100.89
3577.00,100.88
3576.00,100.88
3575.00,100.88
3574.00,100.88
3573.00,100.88
3572.00,100.88
3571.00,100.87
3570.00,100.87
3569.00,100.86
3568.00,100.86
3567.00,100.87
3566.00,100.88
3565.00,100.88
3564.00,100.88
3563.00,100.88
3562.00,100.88
3561.00,100.89
3560.00,100.89
3559.00,100.89
3558.00,100.89
3557.00,100.89
3556.00,100.88
3555.00,100.88
3554.00,100.88
3553.00,100.88
3552.00,100.88
3551.00,100.88
3550.00,100.88
3549.00,100.88
3548.00,100.88
3547.00,100.88
3546.00,100.88
3545.00,100.89
3544.00,100.89
3543.00,100.89
3542.00,100.89
3541.00,100.89
3540.00,100.89
3539.00,100.89
3538.00,100.89
3537.00,100.89
3536.00,100.88
3535.00,100.88
3534.00,100.88
3533.00,100.88
3532.00,100.88
3531.00,100.88
3530.00,100.88
3529.00,100.88
3528.00,100.88
3527.00,100.88
3526.00,100.88
3525.00,100.88
3524.00,100.88
3523.00,100.88
3522.00,100.88
3521.00,100.88
3520.00,100.89
3519.00,100.89
3518.00,100.88
3517.00,100.88
3516.00,100.88
3515.00,100.88
3514.00,100.88
3513.00,100.88
3512.00,100.88
3511.00,100.88
3510.00,100.88
3509.00,100.88
3508.00,100.88
3507.00,100.88
3506.00,100.88
3505.00,100.88
3504.00,100.88
3503.00,100.88
3502.00,100.88
3501.00,100.88
3500.00,100.89
3499.00,100.89
3498.00,100.89
3497.00,100.89
3496.00,100.89
3495.00,100.89
3494.00,100.89
3493.00,100.89
3492.00,100.89
3491.00,100.88
3490.00,100.88
3489.00,100.88
3488.00,100.88
3487.00,100.88
3486.00,100.88
3485.00,100.88
3484.00,100.88
3483.00,100.88
3482.00,100.88
3481.00,100.88
3480.00,100.88
3479.00,100.88
3478.00,100.88
3477.00,100.88
3476.00,100.88
3475.00,100.88
3474.00,100.88
3473.00,100.88
3472.00,100.88
3471.00,100.88
3470.00,100.88
3469.00,100.88
3468.00,100.88
3467.00,100.88
3466.00,100.88
3465.00,100.88
3464.00,100.88
3463.00,100.88
3462.00,100.88
3461.00,100.88
3460.00,100.88
3459.00,100.88
3458.00,100.88
3457.00,100.88
3456.00,100.88
3455.00,100.88
3454.00,100.89
3453.00,100.89
3452.00,100.89
3451.00,100.89
3450.00,100.88
3449.00,100.88
3448.00,100.88
3447.00,100.88
3446.00,100.88
3445.00,100.89
3444.00,100.89
3443.00,100.89
3442.00,100.89
3441.00,100.89
3440.00,100.89
3439.00,100.89
3438.00,100.89
3437.00,100.89
3436.00,100.89
3435.00,100.88
3434.00,100.88
3433.00,100.88
3432.00,100.88
3431.00,100.88
3430.00,100.88
3429.00,100.88
3428.00,100.88
3427.00,100.88
3426.00,100.88
3425.00,100.88
3424.00,100.88
3423.00,100.88
3422.00,100.88
3421.00,100.88
3420.00,100.88
3419.00,100.88
3418.00,100.88
3417.00,100.88
3416.00,100.88
3415.00,100.88
3414.00,100.88
3413.00,100.88
3412.00,100.88
3411.00,100.88
3410.00,100.88
3409.00,100.88
3408.00,100.88
3407.00,100.88
3406.00,100.88
3405.00,100.88
3404.00,100.88
3403.00,100.88
3402.00,100.88
3401.00,100.88
3400.00,100.88
3399.00,100.88
3398.00,100.88
3397.00,100.88
3396.00,100.89
3395.00,100.89
3394.00,100.89
3393.00,100.89
3392.00,100.89
3391.00,100.89
3390.00,100.89
3389.00,100.89
3388.00,100.89
3387.00,100.89
3386.00,100.89
3385.00,100.89
3384.00,100.89
3383.00,100.89
3382.00,100.88
3381.00,100.88
3380.00,100.88
3379.00,100.88
3378.00,100.88
3377.00,100.88
3376.00,100.88
3375.00,100.88
3374.00,100.88
3373.00,100.88
3372.00,100.88
3371.00,100.88
3370.00,100.88
3369.00,100.88
3368.00,100.88
3367.00,100.88
3366.00,100.88
3365.00,100.88
3364.00,100.88
3363.00,100.88
3362.00,100.88
3361.00,100.88
3360.00,100.88
3359.00,100.88
3358.00,100.88
3357.00,100.88
3356.00,100.88
3355.00,100.89
3354.00,100.89
3353.00,100.89
3352.00,100.89
3351.00,100.89
3350.00,100.89
3349.00,100.89
3348.00,100.89
3347.00,100.89
3346.00,100.89
3345.00,100.89
3344.00,100.89
3343.00,100.89
3342.00,100.89
3341.00,100.89
3340.00,100.89
3339.00,100.89
3338.00,100.89
3337.00,100.89
3336.00,100.89
3335.00,100.89
3334.00,100.89
3333.00,100.89
3332.00,100.89
3331.00,100.89
3330.00,100.89
3329.00,100.89
3328.00,100.89
3327.00,100.89
3326.00,100.88
3325.00,100.88
3324.00,100.88
3323.00,100.88
3322.00,100.88
3321.00,100.88
3320.00,100.89
3319.00,100.89
3318.00,100.89
3317.00,100.89
3316.00,100.89
3315.00,100.89
3314.00,100.89
3313.00,100.88
3312.00,100.88
3311.00,100.88
3310.00,100.88
3309.00,100.88
3308.00,100.89
3307.00,100.89
3306.00,100.89
3305.00,100.89
3304.00,100.89
3303.00,100.89
3302.00,100.89
3301.00,100.89
3300.00,100.89
3299.00,100.89
3298.00,100.89
3297.00,100.89
3296.00,100.89
3295.00,100.89
3294.00,100.89
3293.00,100.89
3292.00,100.89
3291.00,100.89
3290.00,100.89
3289.00,100.89
3288.00,100.89
3287.00,100.89
3286.00,100.89
3285.00,100.89
3284.00,100.89
3283.00,100.89
3282.00,100.89
3281.00,100.89
3280.00,100.89
3279.00,100.89
3278.00,100.89
3277.00,100.89
3276.00,100.89
3275.00,100.89
3274.00,100.88
3273.00,100.88
3272.00,100.88
3271.00,100.89
3270.00,100.89
3269.00,100.89
3268.00,100.89
3267.00,100.89
3266.00,100.89
3265.00,100.89
3264.00,100.89
3263.00,100.89
3262.00,100.89
3261.00,100.89
3260.00,100.89
3259.00,100.89
3258.00,100.89
3257.00,100.89
3256.00,100.89
3255.00,100.89
3254.00,100.89
3253.00,100.89
3252.00,100.89
3251.00,100.89
3250.00,100.89
3249.00,100.89
3248.00,100.89
3247.00,100.89
3246.00,100.89
3245.00,100.89
3244.00,100.89
3243.00,100.89
3242.00,100.89
3241.00,100.89
3240.00,100.89
3239.00,100.89
3238.00,100.89
3237.00,100.89
3236.00,100.89
3235.00,100.89
3234.00,100.89
3233.00,100.89
3232.00,100.89
3231.00,100.89
3230.00,100.89
3229.00,100.89
3228.00,100.89
3227.00,100.89
3226.00,100.89
3225.00,100.89
3224.00,100.89
3223.00,100.89
3222.00,100.89
3221.00,100.89
3220.00,100.89
3219.00,100.89
3218.00,100.89
3217.00,100.89
3216.00,100.89
3215.00,100.89
3214.00,100.89
3213.00,100.89
3212.00,100.89
3211.00,100.89
3210.00,100.89
3209.00,100.89
3208.00,100.89
3207.00,100.89
3206.00,100.89
3205.00,100.89
3204.00,100.89
3203.00,100.89
3202.00,100.89
3201.00,100.89
3200.00,100.89
3199.00,100.89
3198.00,100.89
3197.00,100.89
3196.00,100.89
3195.00,100.89
3194.00,100.89
3193.00,100.89
3192.00,100.89
3191.00,100.89
3190.00,100.89
3189.00,100.89
3188.00,100.89
3187.00,100.89
3186.00,100.89
3185.00,100.89
3184.00,100.89
3183.00,100.89
3182.00,100.89
3181.00,100.89
3180.00,100.90
3179.00,100.90
3178.00,100.90
3177.00,100.90
3176.00,100.90
3175.00,100.89
3174.00,100.89
3173.00,100.90
3172.00,100.90
3171.00,100.90
3170.00,100.89
3169.00,100.89
3168.00,100.89
3167.00,100.89
3166.00,100.89
3165.00,100.89
3164.00,100.89
3163.00,100.89
3162.00,100.89
3161.00,100.89
3160.00,100.89
3159.00,100.89
3158.00,100.89
3157.00,100.89
3156.00,100.89
3155.00,100.89
3154.00,100.89
3153.00,100.89
3152.00,100.89
3151.00,100.89
3150.00,100.89
3149.00,100.89
3148.00,100.89
3147.00,100.89
3146.00,100.89
3145.00,100.89
3144.00,100.89
3143.00,100.89
3142.00,100.89
3141.00,100.89
3140.00,100.89
3139.00,100.89
3138.00,100.89
3137.00,100.89
3136.00,100.89
3135.00,100.89
3134.00,100.89
3133.00,100.89
3132.00,100.89
3131.00,100.89
3130.00,100.89
3129.00,100.89
3128.00,100.89
3127.00,100.89
3126.00,100.90
3125.00,100.90
3124.00,100.90
3123.00,100.89
3122.00,100.89
3121.00,100.89
3120.00,100.89
3119.00,100.89
3118.00,100.89
3117.00,100.89
3116.00,100.89
3115.00,100.89
3114.00,100.89
3113.00,100.89
3112.00,100.89
3111.00,100.89
3110.00,100.89
3109.00,100.89
3108.00,100.89
3107.00,100.89
3106.00,100.89
3105.00,100.89
3104.00,100.89
3103.00,100.89
3102.00,100.89
3101.00,100.89
3100.00,100.88
3099.00,100.88
3098.00,100.89
3097.00,100.89
3096.00,100.89
3095.00,100.89
3094.00,100.89
3093.00,100.89
3092.00,100.89
3091.00,100.89
3090.00,100.89
3089.00,100.89
3088.00,100.89
3087.00,100.89
3086.00,100.89
3085.00,100.89
3084.00,100.89
3083.00,100.89
3082.00,100.89
3081.00,100.89
3080.00,100.90
3079.00,100.90
3078.00,100.90
3077.00,100.90
3076.00,100.90
3075.00,100.90
3074.00,100.90
3073.00,100.90
3072.00,100.90
3071.00,100.90
3070.00,100.90
3069.00,100.90
3068.00,100.90
3067.00,100.90
3066.00,100.90
3065.00,100.90
3064.00,100.90
3063.00,100.90
3062.00,100.90
3061.00,100.90
3060.00,100.90
3059.00,100.90
3058.00,100.90
3057.00,100.90
3056.00,100.90
3055.00,100.89
3054.00,100.89
3053.00,100.89
3052.00,100.89
3051.00,100.89
3050.00,100.89
3049.00,100.89
3048.00,100.89
3047.00,100.89
3046.00,100.89
3045.00,100.89
3044.00,100.89
3043.00,100.89
3042.00,100.89
3041.00,100.89
3040.00,100.89
3039.00,100.89
3038.00,100.89
3037.00,100.89
3036.00,100.89
3035.00,100.89
3034.00,100.89
3033.00,100.89
3032.00,100.89
3031.00,100.89
3030.00,100.89
3029.00,100.89
3028.00,100.89
3027.00,100.89
3026.00,100.89
3025.00,100.89
3024.00,100.89
3023.00,100.89
3022.00,100.89
3021.00,100.89
3020.00,100.89
3019.00,100.89
3018.00,100.89
3017.00,100.89
3016.00,100.89
3015.00,100.89
3014.00,100.89
3013.00,100.89
3012.00,100.89
3011.00,100.89
3010.00,100.89
3009.00,100.89
3008.00,100.89
3007.00,100.89
3006.00,100.89
3005.00,100.89
3004.00,100.89
3003.00,100.89
3002.00,100.89
3001.00,100.89
3000.00,100.89
2999.00,100.89
2998.00,100.89
2997.00,100.89
2996.00,100.89
2995.00,100.89
2994.00,100.89
2993.00,100.89
2992.00,100.89
2991.00,100.89
2990.00,100.89
2989.00,100.89
2988.00,100.89
2987.00,100.89
2986.00,100.89
2985.00,100.89
2984.00,100.89
2983.00,100.89
2982.00,100.89
2981.00,100.89
2980.00,100.89
2979.00,100.89
2978.00,100.89
2977.00,100.89
2976.00,100.89
2975.00,100.89
2974.00,100.89
2973.00,100.89
2972.00,100.89
2971.00,100.90
2970.00,100.90
2969.00,100.90
2968.00,100.90
2967.00,100.90
2966.00,100.90
2965.00,100.90
2964.00,100.90
2963.00,100.90
2962.00,100.90
2961.00,100.90
2960.00,100.90
2959.00,100.90
2958.00,100.90
2957.00,100.90
2956.00,100.89
2955.00,100.89
2954.00,100.89
2953.00,100.89
2952.00,100.89
2951.00,100.89
2950.00,100.89
2949.00,100.89
2948.00,100.89
2947.00,100.89
2946.00,100.89
2945.00,100.89
2944.00,100.89
2943.00,100.89
2942.00,100.89
2941.00,100.89
2940.00,100.89
2939.00,100.89
2938.00,100.89
2937.00,100.89
2936.00,100.89
2935.00,100.88
2934.00,100.88
2933.00,100.89
2932.00,100.89
2931.00,100.89
2930.00,100.89
2929.00,100.89
2928.00,100.89
2927.00,100.89
2926.00,100.89
2925.00,100.89
2924.00,100.89
2923.00,100.89
2922.00,100.89
2921.00,100.89
2920.00,100.89
2919.00,100.89
2918.00,100.89
2917.00,100.89
2916.00,100.89
2915.00,100.89
2914.00,100.89
2913.00,100.89
2912.00,100.89
2911.00,100.89
2910.00,100.89
2909.00,100.89
2908.00,100.90
2907.00,100.90
2906.00,100.90
2905.00,100.90
2904.00,100.90
2903.00,100.89
2902.00,100.89
2901.00,100.89
2900.00,100.89
2899.00,100.89
2898.00,100.89
2897.00,100.89
2896.00,100.89
2895.00,100.89
2894.00,100.89
2893.00,100.89
2892.00,100.89
2891.00,100.89
2890.00,100.89
2889.00,100.89
2888.00,100.89
2887.00,100.89
2886.00,100.89
2885.00,100.89
2884.00,100.89
2883.00,100.89
2882.00,100.89
2881.00,100.89
2880.00,100.89
2879.00,100.89
2878.00,100.89
2877.00,100.89
2876.00,100.89
2875.00,100.89
2874.00,100.89
2873.00,100.90
2872.00,100.90
2871.00,100.90
2870.00,100.90
2869.00,100.90
2868.00,100.90
2867.00,100.90
2866.00,100.90
2865.00,100.90
2864.00,100.90
2863.00,100.90
2862.00,100.90
2861.00,100.90
2860.00,100.90
2859.00,100.90
2858.00,100.90
2857.00,100.90
2856.00,100.90
2855.00,100.90
2854.00,100.90
2853.00,100.90
2852.00,100.90
2851.00,100.90
2850.00,100.89
2849.00,100.89
2848.00,100.89
2847.00,100.89
2846.00,100.89
2845.00,100.89
2844.00,100.89
2843.00,100.89
2842.00,100.89
2841.00,100.89
2840.00,100.89
2839.00,100.89
2838.00,100.89
2837.00,100.89
2836.00,100.89
2835.00,100.89
2834.00,100.89
2833.00,100.89
2832.00,100.89
2831.00,100.89
2830.00,100.89
2829.00,100.89
2828.00,100.89
2827.00,100.89
2826.00,100.89
2825.00,100.89
2824.00,100.89
2823.00,100.89
2822.00,100.89
2821.00,100.89
2820.00,100.89
2819.00,100.89
2818.00,100.89
2817.00,100.90
2816.00,100.90
2815.00,100.90
2814.00,100.90
2813.00,100.90
2812.00,100.90
2811.00,100.90
2810.00,100.90
2809.00,100.90
2808.00,100.90
2807.00,100.90
2806.00,100.90
2805.00,100.90
2804.00,100.90
2803.00,100.90
2802.00,100.90
2801.00,100.90
2800.00,100.90
2799.00,100.90
2798.00,100.90
2797.00,100.90
2796.00,100.90
2795.00,100.90
2794.00,100.90
2793.00,100.90
2792.00,100.90
2791.00,100.90
2790.00,100.90
2789.00,100.90
2788.00,100.90
2787.00,100.90
2786.00,100.89
2785.00,100.89
2784.00,100.89
2783.00,100.89
2782.00,100.89
2781.00,100.89
2780.00,100.89
2779.00,100.89
