protein_extract_48_scans_sample1,protein_extract_48_scans_sample2,protein_extract_48_scans_sample3
0.00021999999999999998,0.0006425000000000001,0.0007425000000000001
0.00020250000000000002,0.000495,0.000615
0.00024249999999999999,0.0003975,0.00041
0.0002575,0.0003525,0.0003175
0.00021,0.00035,0.0003925
0.00021250000000000002,0.000445,0.000515
0.000275,0.00056,0.00053
0.00032250000000000003,0.0005025,0.0004525
0.00030750000000000005,0.0003575,0.000415
0.0003275,0.00036,0.00049
0.000365,0.0004875,0.0005875
0.000285,0.0005449999999999999,0.0005849999999999999
0.000165,0.0005,0.0005275
0.00018,0.000405,0.00046750000000000003
0.000305,0.00035499999999999996,0.00042
0.0004025,0.0003725,0.000405
0.0004475,0.00039750000000000007,0.0003975
0.0004125,0.00037,0.0003825
0.00031,0.000255,0.0003325
0.0002375,0.00015000000000000001,0.000315
0.000245,0.00019,0.0004125
0.0002975,0.0003175,0.00051
0.0003475,0.000405,0.0004975
0.00034250000000000003,0.000405,0.000445
0.000285,0.00038,0.000465
0.0003075,0.0004075,0.0005499999999999999
0.000385,0.00045,0.0005825
0.00037999999999999997,0.00047,0.00053
0.00048249999999999996,0.0005574999999999999,0.0005399999999999999
0.000615,0.0007125,0.00066
0.0005875,0.000745,0.0006774999999999999
0.0005725,0.0006075,0.0005775
0.0006475000000000001,0.00046750000000000003,0.00054
0.0006299999999999999,0.0003475,0.0005175
0.00061,0.0002675,0.000495
0.0006375,0.00032,0.000585
0.0006100000000000001,0.0004475,0.00076
0.0006325,0.0005449999999999999,0.0008525
0.0006975,0.0005775000000000001,0.000775
0.0006724999999999999,0.000585,0.0006525
0.000635,0.000615,0.0006575
0.0006675,0.0006399999999999999,0.00069
0.000525,0.0005499999999999999,0.0005650000000000001
0.00019999999999999998,0.00039000000000000005,0.000335
0.00012000000000000002,0.0003675,0.0002875
0.00026500000000000004,0.00041,0.00044
0.0003375,0.0002775,0.00046499999999999997
0.00043,0.0001375,0.0003675
0.00042500000000000003,0.000195,0.0003275
0.00035,0.0003175,0.00032
0.0005125,0.0004175,0.0003375
0.0007375,0.0005225,0.00045
0.000655,0.0006375,0.0006525
0.00067,0.0006975,0.0008475000000000001
0.0007525,0.000665,0.0009575
0.000675,0.0005975,0.0010374999999999998
0.0008500000000000001,0.0005275,0.0010400000000000001
0.0008375000000000001,0.00043750000000000006,0.00087
0.0007125,0.0004825,0.0008049999999999999
0.000945,0.0006600000000000001,0.0009775
0.0011200000000000001,0.0008525000000000001,0.00116
0.0012425,0.00107,0.00126
0.0010625,0.0010925,0.0011949999999999999
0.00073,0.0007900000000000001,0.0009925
0.0008775,0.0005225,0.000905
0.001015,0.0005175000000000001,0.0009025
0.0008675,0.0006225,0.0008849999999999999
0.000775,0.0007624999999999999,0.000995
0.0012725,0.001015,0.0014125
0.0022700000000000003,0.0012675,0.0019325
0.0023075,0.0012575,0.001915
0.0013575,0.000995,0.0012850000000000001
0.0008699999999999999,0.0008175000000000001,0.0007474999999999999
0.001035,0.0008975000000000001,0.0006325
0.001395,0.00115,0.0009025
0.0015574999999999999,0.0013775,0.0013149999999999998
0.00156,0.001485,0.00152
0.0014024999999999999,0.001425,0.0013725
0.001155,0.0012125,0.0011725
0.0011775,0.0010299999999999999,0.001165
0.0012224999999999998,0.0009,0.0011125
0.0010249999999999999,0.0007175,0.0009074999999999999
0.000895,0.0005425,0.0007575
0.0008075,0.0005375,0.0007275
0.0007800000000000001,0.00065,0.0006875
0.0007525,0.0006425000000000001,0.0005275
0.00061,0.00065,0.0005175
0.001155,0.0008325,0.0008175
0.001635,0.0009699999999999999,0.001035
0.0013675,0.000975,0.0010400000000000001
0.0012900000000000001,0.001025,0.001105
0.0015925,0.00117,0.001235
0.0016374999999999998,0.0012900000000000001,0.0012000000000000001
0.0011525,0.00125,0.001005
0.001055,0.001065,0.0008575
0.0011675,0.0008825,0.0007675
0.00105,0.00084,0.00068
0.0011075,0.0007650000000000001,0.000565
0.000955,0.0005775,0.00042750000000000004
0.0006900000000000001,0.0004825,0.00036250000000000003
0.0005124999999999999,0.000495,0.000295
0.000385,0.0004625,0.00022250000000000004
0.0005275000000000001,0.00048499999999999997,0.00036500000000000004
0.0008550000000000001,0.000745,0.0007650000000000001
0.0011125,0.00108,0.0010975
0.0013750000000000001,0.00124,0.0011825
0.00146,0.0012925,0.0011649999999999998
0.0013825000000000003,0.0013525,0.00116
0.0014325,0.001375,0.00114
0.0016025,0.0013175,0.0010625
0.00166,0.001265,0.001
0.00149,0.0012699999999999999,0.0010975
0.0014025,0.0012799999999999999,0.001225
0.00142,0.0013349999999999998,0.0012925
0.0016425,0.0014125000000000001,0.0013599999999999999
0.0018150000000000002,0.00134,0.00138
0.0014550000000000001,0.00124,0.0013275000000000001
0.00103,0.00131,0.00135
0.001135,0.00134,0.0014349999999999999
0.0012675,0.00102,0.0013275
0.0008324999999999999,0.0006375,0.0010225
0.0007975,0.0007274999999999998,0.0009674999999999999
0.0014449999999999999,0.0010500000000000002,0.0010275
0.0012375,0.0011425,0.0007925
0.000615,0.0011025000000000002,0.0005575
0.000735,0.0010275000000000002,0.0005275
0.0010025,0.0007175,0.0004175
0.0007575,0.00031,0.0002225
0.000415,0.0002525,0.00026
0.0005275000000000001,0.0004975,0.0005975
0.0010525,0.000915,0.0009874999999999999
0.0016475,0.0013700000000000001,0.0012725
0.0018375,0.0015325,0.0013700000000000001
0.0017525,0.001365,0.00129
0.0016049999999999999,0.0011925,0.0012274999999999999
0.0014625,0.0013175,0.0012924999999999998
0.0014125000000000001,0.0014425000000000002,0.001395
0.00149,0.0012125,0.0012925
0.0015799999999999998,0.0008575000000000001,0.0009075000000000001
0.0015,0.0008075000000000001,0.000655
0.001415,0.0011075,0.0007750000000000001
0.0015699999999999998,0.00143,0.0010825000000000001
0.00174,0.0015425,0.0012525000000000001
0.0016175,0.001325,0.0011025
0.001445,0.0011099999999999999,0.0009125000000000001
0.0017050000000000001,0.001215,0.0010225
0.00202,0.00135,0.0012425000000000001
0.0019975,0.00129,0.0012499999999999998
0.00192,0.0010775,0.0010375
0.001905,0.001,0.0008274999999999999
0.0018174999999999999,0.0012275,0.000915
0.0018575,0.0016225,0.0012225
0.00231,0.00203,0.0016350000000000002
0.0027975,0.00236,0.0020150000000000003
0.0029825,0.0024525,0.0022324999999999997
0.003065,0.002295,0.0023
0.0029325,0.0020775000000000004,0.0022175000000000003
0.0024875,0.0020924999999999997,0.00204
0.002785,0.0022500000000000003,0.00203
0.0031825,0.0023350000000000003,0.0022575
0.0030625,0.0023825,0.0024925
0.0031850000000000003,0.00258,0.002675
0.0035625,0.0029475,0.0029124999999999997
