protein_extract_32_scans_sample1,protein_extract_32_scans_sample2,protein_extract_32_scans_sample3
0.00062,0.0008325,0.00049
0.0007800000000000001,0.000905,0.00057
0.000835,0.0007700000000000001,0.0005924999999999999
0.0007825,0.00054,0.000545
0.00067,0.0004625,0.000535
0.0005175,0.0005475,0.0005899999999999999
0.000435,0.00059,0.00058
0.000465,0.000575,0.00049
0.00047500000000000005,0.00046,0.000385
0.00036,0.0002575,0.0003175
0.00017750000000000003,9.250000000000001e-05,0.0002075
8.5e-05,6e-05,8.5e-05
0.0002275,0.00025,0.0001275
0.00062,0.00071,0.00040249999999999997
0.0010575,0.0011525,0.00077
0.0012,0.0012225,0.0009275
0.00103,0.0009975000000000001,0.0008075000000000001
0.0008699999999999999,0.0008024999999999999,0.0006225
0.0007650000000000001,0.00072,0.000485
0.0005700000000000001,0.0006,0.00039249999999999995
0.00042500000000000003,0.0004625,0.0003925
0.000425,0.00040999999999999994,0.000415
0.00039999999999999996,0.000465,0.00031499999999999996
0.00034500000000000004,0.000605,0.0001775
0.00035749999999999996,0.00073,0.000225
0.0003225,0.0006699999999999999,0.000415
0.00031,0.00048499999999999997,0.00058
0.0004975,0.0003975,0.0006100000000000001
0.0006625,0.0004025,0.000505
0.0006925,0.00048750000000000003,0.000485
0.0006175,0.0006125,0.0006249999999999999
0.0004775,0.0006825,0.0007225
0.000535,0.0007574999999999999,0.0007325000000000001
0.0008475000000000001,0.0009225,0.0007775
0.0012,0.001085,0.0009150000000000001
0.0013425000000000002,0.0010775000000000001,0.00093
0.0011925,0.0009125000000000001,0.0007849999999999999
0.0010225,0.0008625,0.0007925
0.0010299999999999999,0.0009699999999999999,0.0008925
0.0010975,0.0010425,0.0008549999999999999
0.0010425,0.0009975000000000001,0.00079
0.0009475,0.00091,0.00081
0.0009825,0.0008925,0.000935
0.001085,0.0009325,0.00117
0.0011149999999999999,0.0009925,0.0013525
0.001025,0.001165,0.001305
0.0007524999999999999,0.00125,0.0009775
0.0004825,0.0011175,0.000565
0.00068,0.0011375,0.0005275
0.00113,0.0013775,0.001015
0.00132,0.0015125,0.0015125
0.0011075,0.0013675000000000002,0.00147
0.0007225,0.001065,0.0010875000000000001
0.0004425,0.000895,0.0009475
0.00036750000000000004,0.0008725,0.0009825
0.0005375,0.0008224999999999999,0.0010725
0.0008875,0.0008049999999999999,0.00121
0.0011775000000000002,0.0008550000000000001,0.00121
0.0011124999999999998,0.0007675,0.00113
0.0008150000000000001,0.000565,0.00106
0.0005575,0.0004825,0.0010025000000000001
0.00047750000000000006,0.0005425,0.0009575
0.0006075,0.0005925,0.0008475
0.0007375,0.000535,0.000745
0.000645,0.00039000000000000005,0.0005825
0.0005,0.0003075,0.0003225
0.0006425000000000001,0.000495,0.00043250000000000005
0.00108,0.0009450000000000001,0.0011450000000000002
0.0014550000000000001,0.0013350000000000002,0.0019225000000000002
0.001465,0.0014125000000000001,0.0018549999999999999
0.001265,0.0014000000000000002,0.0009174999999999999
0.00116,0.00148,0.0004725
0.0012000000000000001,0.0015625,0.000815
0.00134,0.0016475,0.0013150000000000002
0.0013175,0.001545,0.0014575
0.00098,0.001115,0.001115
0.00072,0.000675,0.0007725
0.0008550000000000001,0.0005775,0.0007725
0.001,0.0006275,0.00085
0.000875,0.00055,0.0007650000000000001
0.0007825,0.000585,0.00074
0.000975,0.0009075,0.001
0.0011925,0.0011125,0.00126
0.0011300000000000001,0.001005,0.0013325
0.000915,0.0008475,0.0013549999999999999
0.0008875,0.0008324999999999999,0.0012100000000000001
0.00122,0.0010425,0.0009825
0.0015500000000000002,0.00136,0.0008975000000000001
0.00157,0.001535,0.0007700000000000001
0.00139,0.0014849999999999998,0.0007325000000000001
0.00131,0.0014175,0.0009874999999999999
0.00142,0.0015224999999999998,0.0013325
0.0015225,0.0016625,0.0014500000000000001
0.0013125,0.0014550000000000001,0.0012699999999999999
0.00091,0.000975,0.000935
0.0008925000000000002,0.0008575,0.00074
0.001295,0.001255,0.0010225
0.0015249999999999999,0.0016025,0.0013925
0.0014125,0.0014875,0.0013149999999999998
0.0011350000000000002,0.001045,0.0009875
0.000905,0.000735,0.0008475000000000001
0.00087,0.0007575,0.0009775
0.0009275,0.0008875,0.00113
0.0009350000000000001,0.00092,0.00114
0.0010550000000000002,0.0009400000000000001,0.0012350000000000002
0.0013675,0.0011124999999999998,0.0014650000000000002
0.0015574999999999999,0.00138,0.0015049999999999998
0.0014449999999999999,0.0015425,0.0013700000000000001
0.0011975,0.00147,0.0012925
0.0009400000000000001,0.00118,0.0011775
0.00079,0.0010375,0.001005
0.0009,0.0012325,0.0010675
0.0011225,0.0013625000000000002,0.0012699999999999999
0.0013325000000000001,0.001295,0.0013575
0.0016049999999999999,0.0013024999999999998,0.0014975000000000001
0.0018625,0.0013775,0.0016175
0.001885,0.001295,0.001475
0.0015775,0.00098,0.0012324999999999999
0.00117,0.0006175,0.0011524999999999999
0.000905,0.00041,0.001195
0.000745,0.0003625,0.0011875
0.00040750000000000004,0.0002375,0.0009025
0.00022,0.000315,0.00044500000000000003
0.0007675,0.0010175,0.0004375
0.0015375000000000002,0.0016825,0.0010875
0.0016825,0.001685,0.0016250000000000001
0.00118,0.0012875,0.0015075000000000002
0.0007775,0.0011899999999999999,0.00101
0.0010475,0.0015575,0.0008100000000000001
0.0013925,0.0016925,0.0008874999999999999
0.001335,0.001395,0.0009274999999999999
0.00114,0.0011025,0.0008750000000000001
0.0011175,0.0011099999999999999,0.0008925000000000001
0.001255,0.001325,0.0011350000000000002
0.001465,0.00155,0.0014275
0.0016175,0.0016075,0.0015975000000000002
0.0017200000000000002,0.0014850000000000002,0.0017775
0.0017725,0.001325,0.0019825
0.0016075,0.0012000000000000001,0.0018525000000000002
0.0014525,0.0012775,0.0014425000000000002
0.0015725000000000001,0.001575,0.0014075
0.001695,0.0017200000000000002,0.001685
0.0016225,0.0015925000000000002,0.0018200000000000002
0.00149,0.0014,0.00167
0.0015099999999999998,0.0014449999999999999,0.0015975
0.0017,0.0017,0.0018299999999999998
0.0018549999999999999,0.001865,0.002115
0.0017824999999999998,0.001795,0.0022525
0.0016224999999999998,0.0016725,0.00214
0.0017925,0.0019075,0.0019375
0.002285,0.0023325,0.0019625
0.002395,0.0023924999999999997,0.0021075
0.00225,0.0023474999999999998,0.0023325
0.0024275,0.00252,0.002725
0.0028799999999999997,0.0026225,0.00312
0.0030275000000000002,0.002375,0.0031375
0.0026625,0.0019725,0.0025775
0.0021850000000000003,0.001715,0.0020525
0.002065,0.0017075000000000003,0.0021000000000000003
0.00243,0.002225,0.0024825000000000003
0.0028750000000000004,0.00297,0.0028975
0.0031375,0.0034300000000000003,0.0032375
0.0033225000000000004,0.0035675,0.0034575
0.003345,0.00347,0.0035824999999999997
0.0032725,0.0033124999999999995,0.003675
0.0034999999999999996,0.003445,0.0038325
0.0039875,0.00382,0.00421
0.0043475,0.004215,0.0047875
0.0047275,0.0048525,0.005259999999999999
0.0052899999999999996,0.0056025,0.0053425
0.0056275000000000006,0.0059175,0.0053725000000000005
0.0057875,0.006105,0.0057875
0.006070000000000001,0.006445,0.006385
0.0063875,0.0067375,0.0067775000000000005
0.0065575,0.0068874999999999995,0.0069700000000000005
0.006705000000000001,0.0070775000000000005,0.0072074999999999995
0.0070125000000000005,0.007392500000000001,0.007635
0.007339999999999999,0.007665,0.008132499999999999
0.0075175,0.008015,0.0084675
0.0077800000000000005,0.008735,0.008585
0.0081025,0.009337499999999999,0.008685
0.008335,0.009612500000000001,0.0089675
0.008615000000000001,0.009922499999999999,0.0094725
0.008960000000000001,0.01019,0.009955
0.0091775,0.01022,0.0101875
0.009357500000000001,0.010374999999999999,0.0104475
0.0099125,0.0109725,0.01097
0.0109025,0.011897499999999998,0.011827500000000001
0.01185,0.012805,0.0127475
0.012205,0.01336,0.013194999999999998
0.0120825,0.01355,0.013195
0.0120625,0.01366,0.0132375
0.0123975,0.0139325,0.013505000000000001
0.01297,0.01438,0.013825
0.0134775,0.014845,0.014065
0.01379,0.015267499999999998,0.014284999999999999
0.013905,0.015555,0.014555
0.0138975,0.015635,0.014865
0.014145000000000001,0.01588,0.015335000000000001
0.014877499999999998,0.01662,0.016025
0.01567,0.017465,0.016745
0.0162475,0.0180875,0.0173475
0.016649999999999998,0.0185725,0.017735
0.0167875,0.018879999999999997,0.0178975
0.016795,0.018985000000000002,0.017969999999999996
0.01696,0.0191125,0.018132500000000003
0.01731,0.01946,0.0185075
0.0177325,0.01997,0.01908
0.0181775,0.020437499999999997,0.0196
0.0187575,0.0209025,0.01995
0.0194825,0.0216375,0.0203975
0.0200525,0.0224775,0.021070000000000002
0.020202499999999998,0.0229725,0.021695
0.020139999999999998,0.02313,0.02202
0.02031,0.023344999999999998,0.022242500000000002
0.020792500000000002,0.0237825,0.022585
0.0213225,0.02433,0.0229875
0.021629999999999996,0.0246975,0.023342500000000002
0.021804999999999998,0.0248975,0.023662500000000003
0.02216,0.025312499999999998,0.024032500000000002
0.02269,0.025945000000000003,0.024439999999999996
0.023065000000000002,0.026502500000000002,0.024810000000000002
0.023200000000000002,0.026887499999999998,0.02515
0.023267499999999997,0.027112500000000005,0.025472500000000002
0.023467500000000002,0.027315,0.025854999999999996
0.0238475,0.027630000000000002,0.026275
0.02433,0.028,0.026612499999999997
0.024945000000000002,0.028550000000000002,0.026992500000000003
0.025647499999999997,0.0293725,0.027590000000000003
0.026235,0.0301575,0.02829
0.02671,0.030737499999999997,0.028975
0.027055000000000003,0.0311125,0.029484999999999997
0.027225,0.0312775,0.0297125
0.0273575,0.0313725,0.029799999999999997
0.027555,0.0314575,0.0298325
0.02785,0.0315775,0.029922499999999998
0.0282525,0.03196,0.030285000000000003
0.0285825,0.0325675,0.030815
0.028695000000000002,0.033002500000000004,0.03119
0.028784999999999998,0.03326,0.0314225
0.029095,0.033665,0.0318175
0.0295225,0.0341475,0.032392500000000005
0.029797499999999998,0.034405000000000005,0.03276
0.0298775,0.034535,0.03281
0.030027500000000002,0.034865,0.0329225
0.0304125,0.03538,0.033285
0.030774999999999997,0.035815,0.033635
0.03096,0.036145,0.033895
0.0311825,0.036605,0.0342875
0.0315575,0.037175,0.034780000000000005
0.03174,0.0374325,0.034972500000000004
0.031645,0.0373525,0.034795000000000006
0.0318025,0.0375075,0.0347825
0.032335,0.0379875,0.0352075
0.0327625,0.038372500000000004,0.0356725
0.032995000000000003,0.03866,0.0359425
0.0333225,0.0390625,0.03618
0.0336125,0.039435000000000005,0.03647
0.0337075,0.0396575,0.0367775
0.0338275,0.0398275,0.0370775
0.034057500000000004,0.039945,0.037282499999999996
0.034390000000000004,0.040124999999999994,0.0374725
0.034822500000000006,0.040580000000000005,0.037892499999999996
0.03527,0.0412625,0.03853
0.035705,0.041842500000000005,0.03902
0.035917500000000005,0.04197,0.039115
0.035750000000000004,0.04182,0.0390025
0.035705,0.04205,0.0391525
0.036140000000000005,0.042649999999999993,0.039605
0.03663,0.04304,0.039965
0.036809999999999996,0.043109999999999996,0.04019249999999999
0.0369325,0.043245,0.040530000000000004
0.0372275,0.043667500000000005,0.0409575
0.0374375,0.04405,0.04113
0.0374275,0.04412,0.0410475
0.03737,0.044075,0.041054999999999994
0.0375075,0.04423,0.04126
0.0378775,0.044504999999999996,0.041495
0.038212499999999996,0.0447225,0.0416875
0.03833,0.04492,0.04187
0.038360000000000005,0.045052499999999995,0.042075
0.038515,0.045225,0.042325
0.0388625,0.045677499999999996,0.042655
0.039220000000000005,0.04621499999999999,0.0430025
0.0393475,0.0464175,0.0431475
0.039405,0.0464125,0.043145
0.039497500000000005,0.046485,0.043177499999999994
0.039555,0.04668750000000001,0.04331
0.039709999999999995,0.0470275,0.0436325
0.040002499999999996,0.0473175,0.04396
0.0402625,0.0474725,0.044115
0.0403875,0.047569999999999994,0.04418
0.040475,0.0477075,0.0443075
0.040775,0.04804,0.044652500000000005
0.04122,0.048445,0.0450175
0.04127,0.0484675,0.04496
0.0409925,0.0482275,0.044645000000000004
0.04101,0.048310000000000006,0.044649999999999995
0.04124,0.0486425,0.044930000000000005
0.041315000000000004,0.04883,0.04506
0.041375,0.048920000000000005,0.0451125
0.04141,0.048940000000000004,0.0451475
0.0413475,0.0488825,0.045107499999999995
0.0414025,0.048975000000000005,0.045225
0.04165,0.049315,0.04558
0.0418475,0.0496,0.04586
0.04178,0.0495975,0.04583
0.0415275,0.0493675,0.045625
0.0413525,0.0491175,0.045477500000000004
0.041325,0.049135,0.0455
0.04148,0.049487500000000004,0.0456825
0.041795,0.049865,0.045884999999999995
