protein_extract_24d_scans_sample1,protein_extract_24d_scans_sample2,protein_extract_24d_scans_sample3
0.0005725,0.000435,0.0008975000000000001
0.000505,0.0004825,0.00073
0.0004225,0.000405,0.0004475
0.0003725,0.00023750000000000003,0.000185
0.00025749999999999997,0.00013250000000000002,2.25e-05
0.000105,0.0001975,5.5e-05
0.000125,0.00043999999999999996,0.00024500000000000005
0.00029,0.0006000000000000001,0.0004375
0.00038749999999999993,0.0004975,0.0005675
0.00047250000000000005,0.00041,0.0006825
0.0006875,0.000545,0.0007825
0.0008625,0.0006575000000000001,0.0007899999999999999
0.0007825,0.0006275,0.000675
0.000645,0.0006425000000000001,0.0005775
0.0006425,0.0006675000000000001,0.0005325000000000001
0.0006975,0.0006225,0.0005099999999999999
0.0007750000000000001,0.0007275000000000001,0.0006675
0.00097,0.00098,0.0010025000000000001
0.001145,0.0010125,0.0011275
0.001075,0.0007375,0.0008825
0.0008775,0.0005175,0.0006175
0.0007624999999999999,0.000665,0.00067
0.0008049999999999999,0.0010725,0.001025
0.0010350000000000001,0.0014475,0.0014425
0.0012525000000000001,0.0015024999999999997,0.0015875
0.0012325,0.001235,0.0013375
0.0011475,0.0010500000000000002,0.001065
0.0011275,0.0010574999999999998,0.0009525
0.0010225,0.0009975,0.0007775
0.0009525,0.0009475,0.00067
0.0010899999999999998,0.001095,0.000915
0.0012974999999999998,0.0013275000000000001,0.00131
0.0012725000000000002,0.0013700000000000001,0.0014425
0.0009425,0.0011424999999999999,0.0013049999999999997
0.00058,0.0009,0.0011675000000000001
0.0005924999999999999,0.0008749999999999999,0.00123
0.00102,0.0010875,0.0015325
0.0013,0.0011575000000000001,0.001635
0.001105,0.0009149999999999999,0.0012625000000000002
0.0009200000000000001,0.0007575,0.0009525
0.0009475,0.0008025,0.0010175
0.0008424999999999999,0.0007125,0.0009975000000000001
0.0006525000000000001,0.0005125,0.0007425
0.0006850000000000001,0.00053,0.0005625000000000001
0.0009675,0.00086,0.0006225
0.0012025,0.00122,0.000835
0.0010975,0.0012425000000000001,0.0009475
0.00087,0.0009599999999999999,0.000945
0.0008500000000000001,0.0007149999999999999,0.0009824999999999999
0.0009674999999999999,0.0006975,0.001
0.0011775,0.0009774999999999999,0.001115
0.001445,0.001385,0.0014824999999999999
0.0014500000000000001,0.0013925,0.0016625
0.0011,0.0010400000000000001,0.0014374999999999998
0.000845,0.0009375000000000001,0.0013
0.0010825,0.0012025,0.00146
0.001585,0.0014449999999999999,0.00169
0.0018974999999999999,0.00152,0.0019450000000000001
0.00199,0.0014949999999999998,0.0020924999999999997
0.0020399999999999997,0.0015075000000000002,0.0020299999999999997
0.001865,0.0014175,0.0016775
0.0012575,0.0009774999999999999,0.00109
0.0006399999999999999,0.0005675,0.0007149999999999999
0.00043,0.0005875,0.0007700000000000001
0.00045000000000000004,0.0007624999999999999,0.0010125
0.0005225000000000001,0.00085,0.00118
0.000615,0.0009299999999999999,0.0011525
0.0006175,0.0010175000000000002,0.000895
0.00045,0.0008424999999999999,0.000445
0.000285,0.00053,0.0002625
0.0005,0.0006775,0.0008649999999999999
0.0008374999999999999,0.00102,0.0014125
0.000995,0.0011275,0.0014675
0.00108,0.0011925,0.00146
0.0011649999999999998,0.0012599999999999998,0.0014600000000000001
0.0011925000000000002,0.0011125,0.0012050000000000001
0.0011025000000000002,0.0008025,0.0007650000000000001
0.0009325000000000001,0.000555,0.0005625000000000001
0.0008875,0.00046249999999999997,0.0007925000000000001
0.0009824999999999999,0.0005,0.0011225
0.0011350000000000002,0.0006724999999999999,0.0012575
0.0013125,0.0009375,0.0012324999999999999
0.0014349999999999999,0.0011075,0.001185
0.0013974999999999999,0.0010500000000000002,0.0011550000000000002
0.0011175,0.00101,0.0011275
0.0008100000000000001,0.0013025,0.0012525
0.000955,0.00169,0.0014825
0.0013975,0.0017924999999999998,0.0014925
0.0016525,0.00177,0.00149
0.0017025,0.00172,0.001625
0.00172,0.0015475,0.00165
0.0016925,0.001315,0.0015
0.0016475,0.0012374999999999999,0.0013625
0.00153,0.001215,0.0011975000000000002
0.0013125,0.00117,0.0009549999999999999
0.0012125,0.0012925,0.0010175
0.0012175,0.001415,0.0013150000000000002
0.00122,0.0014825,0.001505
0.0013525,0.0016150000000000001,0.001645
0.00162,0.0016825,0.001725
0.0017475,0.0015975,0.0016975000000000002
0.00161,0.0013675000000000002,0.0015574999999999999
0.0014475,0.0011675,0.00149
0.0014175000000000001,0.001075,0.0015975
0.001415,0.000915,0.00156
0.0014125,0.0008274999999999999,0.0013475
0.0015625,0.0010575,0.0014075
0.0018050000000000002,0.001365,0.0017599999999999998
