protein_extract_24_scans_mdi,protein_extract_32_scans_mdi
-0.012773445341736078,-0.012599627953022718
-0.013157672248780727,-0.012833186890929937
-0.013227452524006367,-0.01245422288775444
-0.01222946122288704,-0.012641218025237322
-0.012552201747894287,-0.012986704241484404
-0.012168035842478275,-0.012522830162197351
-0.012416910380125046,-0.012670273426920176
-0.012370878830552101,-0.012526349164545536
-0.012292822357267141,-0.012315236032009125
-0.012776209507137537,-0.012823898810893297
-0.012640422210097313,-0.01281401701271534
-0.012736749835312366,-0.012907983269542456
-0.012063608504831791,-0.012169326189905405
-0.012223954312503338,-0.012292187660932541
-0.012105978094041348,-0.012347663287073374
