Created as New Dataset,Sample 347 By Analyst Date Wednesday, February 05 2025
cm-1,%T
4000.00,92.79
3999.00,92.79
3998.00,92.79
3997.00,92.79
3996.00,92.78
3995.00,92.78
3994.00,92.78
3993.00,92.78
3992.00,92.78
3991.00,92.78
3990.00,92.78
3989.00,92.78
3988.00,92.78
3987.00,92.78
3986.00,92.78
3985.00,92.78
3984.00,92.78
3983.00,92.78
3982.00,92.79
3981.00,92.79
3980.00,92.79
3979.00,92.79
3978.00,92.79
3977.00,92.79
3976.00,92.79
3975.00,92.79
3974.00,92.79
3973.00,92.79
3972.00,92.79
3971.00,92.79
3970.00,92.79
3969.00,92.79
3968.00,92.79
3967.00,92.79
3966.00,92.79
3965.00,92.79
3964.00,92.79
3963.00,92.79
3962.00,92.79
3961.00,92.78
3960.00,92.78
3959.00,92.78
3958.00,92.78
3957.00,92.77
3956.00,92.77
3955.00,92.77
3954.00,92.77
3953.00,92.76
3952.00,92.76
3951.00,92.76
3950.00,92.76
3949.00,92.76
3948.00,92.76
3947.00,92.76
3946.00,92.75
3945.00,92.75
3944.00,92.75
3943.00,92.75
3942.00,92.75
3941.00,92.75
3940.00,92.75
3939.00,92.75
3938.00,92.75
3937.00,92.75
3936.00,92.75
3935.00,92.75
3934.00,92.76
3933.00,92.76
3932.00,92.76
3931.00,92.76
3930.00,92.76
3929.00,92.76
3928.00,92.76
3927.00,92.76
3926.00,92.77
3925.00,92.77
3924.00,92.77
3923.00,92.77
3922.00,92.77
3921.00,92.78
3920.00,92.78
3919.00,92.79
3918.00,92.79
3917.00,92.79
3916.00,92.78
3915.00,92.78
3914.00,92.78
3913.00,92.78
3912.00,92.78
3911.00,92.78
3910.00,92.78
3909.00,92.78
3908.00,92.78
3907.00,92.78
3906.00,92.78
3905.00,92.79
3904.00,92.79
3903.00,92.79
3902.00,92.79
3901.00,92.79
3900.00,92.79
3899.00,92.78
3898.00,92.77
3897.00,92.77
3896.00,92.77
3895.00,92.77
3894.00,92.76
3893.00,92.76
3892.00,92.76
3891.00,92.76
3890.00,92.76
3889.00,92.76
3888.00,92.76
3887.00,92.77
3886.00,92.77
3885.00,92.76
3884.00,92.75
3883.00,92.76
3882.00,92.77
3881.00,92.77
3880.00,92.76
3879.00,92.76
3878.00,92.76
3877.00,92.77
3876.00,92.78
3875.00,92.78
3874.00,92.77
3873.00,92.76
3872.00,92.77
3871.00,92.78
